V1,V2,V3b,PapIV,KIC,HB,DV,Per,e_Per,BJD0,e_BJD0,Morph,GLON,GLAT,Kpmag,Teff,SC,LC,TS,Simbad,_RA.icrs,_DE.icrs
1.0,1.0,1.0,1.0,04738426,0.0,b'',0.2488352,1e-07,54964.659616,0.01452,0.96,71.5806,12.4784,15.335,6016.0,b'False',b'LC',b'TS',b'Simbad',289.2759,39.8837
1.0,1.0,1.0,1.0,08122124,0.0,b'DV',0.2492776,1e-07,54964.612833,0.01422,1.0,78.6563,7.9439,13.638,6250.0,b'False',b'LC',b'TS',b'Simbad',299.0193,43.9576
1.0,1.0,1.0,1.0,09032671,0.0,b'',0.2496079,1e-07,54953.798542,0.013539,0.7,78.6247,10.7845,12.982,4807.0,b'False',b'LC',b'TS',b'Simbad',295.5099,45.3125
0.0,0.0,1.0,1.0,05960283,0.0,b'',0.2496681,1e-07,55110.101764,0.014553,0.94,73.6866,11.3288,15.761,5308.0,b'False',b'LC',b'TS',b'Simbad',291.8149,41.2432
0.0,0.0,1.0,1.0,09412114,0.0,b'',0.2502522,2e-07,55001.893873,0.014397,0.86,79.0686,11.4142,15.226,5991.0,b'False',b'LC',b'TS',b'Simbad',295.001,45.9905
1.0,1.0,1.0,1.0,09004380,0.0,b'',0.2503325,1e-07,54964.60001,0.013059,0.97,75.3203,17.9996,14.238,6070.0,b'False',b'LC',b'TS',b'Simbad',284.2738,45.3593
0.0,0.0,1.0,1.0,04857282,0.0,b'',0.2507526,1e-07,54904.264881,0.013134,0.75,74.3908,7.1627,14.173,5456.0,b'False',b'LC',b'TS',b'Simbad',297.0897,39.9039
0.0,0.0,1.0,1.0,12602985,0.0,b'',0.2508689,2e-07,55002.090625,0.014561,0.88,83.1553,16.3159,15.152,4878.0,b'False',b'LC',b'TS',b'Simbad',290.8601,51.6791
1.0,1.0,1.0,1.0,11336707,0.0,b'',0.2512982,1e-07,54964.637372,0.015855,0.91,78.9481,19.5864,14.804,4751.0,b'False',b'LC',b'TS',b'Simbad',283.802,49.1288
1.0,1.0,1.0,1.0,12104285,0.0,b'',0.2514509,1e-07,54964.713694,0.016437,0.87,81.3791,17.8695,15.841,4658.0,b'False',b'LC',b'TS',b'Simbad',287.5392,50.6969
1.0,1.0,1.0,0.0,08367007,0.0,b'',0.251616,1e-07,54964.933977,0.014635,0.81,76.7335,12.3302,13.532,6239.0,b'False',b'LC',b'TS',b'Simbad',292.3824,44.3613
1.0,1.0,1.0,1.0,11769739,0.0,b'',0.2524728,1e-07,54964.659858,0.014623,0.77,82.6823,13.1342,15.033,5136.0,b'False',b'LC',b'TS',b'Simbad',295.1155,49.9174
1.0,1.0,1.0,1.0,04138301,0.0,b'',0.2533791,1e-07,54964.685221,0.015875,0.9,69.7502,14.8833,14.697,5132.0,b'False',b'LC',b'TS',b'Simbad',285.4866,39.2406
0.0,0.0,1.0,1.0,09478836,0.0,b'',0.2540637,1e-07,55002.132513,0.01185,0.71,79.7348,10.2589,15.218,4939.0,b'False',b'LC',b'TS',b'Simbad',296.912,46.0248
0.0,0.0,1.0,1.0,12508348,0.0,b'',0.2556047,1e-07,54951.660784,0.014908,0.97,82.7273,16.6052,13.428,8961.0,b'False',b'LC',b'TS',b'Simbad',290.1732,51.4151
1.0,1.0,1.0,1.0,05685072,0.0,b'',0.2559051,2e-07,54964.626512,0.01287,0.73,70.9453,16.663,13.187,4626.0,b'False',b'LC',b'TS',b'Simbad',283.9089,40.9825
1.0,1.0,1.0,1.0,03839964,0.0,b'',0.2561499,1e-07,54964.791432,0.016135,0.8,70.4116,12.7856,14.602,5332.0,b'False',b'LC',b'TS',b'Simbad',288.2937,38.9781
1.0,1.0,1.0,1.0,12598713,0.0,b'',0.257179,1e-07,54953.674386,0.014574,0.94,82.5187,17.8034,12.762,5189.0,b'False',b'LC',b'TS',b'Simbad',288.268,51.6832
1.0,1.0,1.0,1.0,09700154,0.0,b'',0.2572534,1e-07,54964.788932,0.016893,0.8,77.0291,16.7085,15.495,4315.0,b'False',b'LC',b'TS',b'Simbad',286.8545,46.4083
0.0,0.0,1.0,1.0,09662581,0.0,b'',0.2580109,2e-07,55002.116224,0.015322,0.79,80.0548,10.4505,15.808,4773.0,b'False',b'LC',b'TS',b'Simbad',296.887,46.3929
0.0,0.0,1.0,1.0,09777987,0.0,b'',0.2585001,4e-07,55000.067554,0.032309,0.76,79.4699,11.7773,16.283,,b'False',b'LC',b'TS',b'Simbad',294.7953,46.5064
1.0,1.0,2.0,1.0,02856960,0.0,b'',0.2585073,1e-07,54964.658506,0.00731,0.64,71.0098,9.5159,15.615,4733.0,b'True',b'LC',b'TS',b'Simbad',292.3811,38.0767
0.0,0.0,1.0,1.0,05611561,0.0,b'',0.2586947,2e-07,55000.00942,0.014541,0.75,72.4708,12.9444,13.971,,b'False',b'LC',b'TS',b'Simbad',289.202,40.8676
1.0,1.0,1.0,1.0,07339345,0.0,b'',0.2596643,1e-07,54964.777196,0.01378,0.76,72.5365,18.1839,15.2,4877.0,b'False',b'LC',b'TS',b'Simbad',282.7366,42.9468
1.0,1.0,1.0,1.0,09288175,0.0,b'',0.2609349,1e-07,54964.740797,0.014553,0.99,78.7476,11.5,12.549,6972.0,b'False',b'LC',b'TS',b'Simbad',294.6841,45.7505
0.0,0.0,1.0,1.0,09392331,0.0,b'',0.2617622,2e-07,55000.339626,0.015183,0.77,76.3562,17.1871,15.699,5993.0,b'False',b'LC',b'TS',b'Simbad',285.8674,45.988
1.0,1.0,1.0,1.0,09239684,0.0,b'',0.2618159,1e-07,54964.790149,0.014846,0.99,80.0592,8.8409,12.578,5827.0,b'False',b'LC',b'TS',b'Simbad',298.9103,45.6083
1.0,1.0,1.0,1.0,12004834,0.0,b'',0.2623168,1e-07,55002.041,0.007446,0.63,80.911,18.3801,14.718,3576.0,b'True',b'LC',b'TS',b'Simbad',286.5378,50.4639
1.0,1.0,1.0,1.0,11284547,0.0,b'',0.2624405,1e-07,54964.534976,0.014846,0.96,78.9896,19.1803,15.45,5117.0,b'False',b'LC',b'TS',b'Simbad',284.4066,49.0309
1.0,1.0,1.0,1.0,08045121,0.0,b'',0.2631774,1e-07,54953.761215,0.014854,1.0,77.8672,9.1406,11.971,6990.0,b'False',b'LC',b'TS',b'Simbad',297.0395,43.8728
1.0,1.0,1.0,1.0,06106771,0.0,b'',0.2638263,2e-07,54964.616674,0.015617,0.77,71.8775,15.6716,15.491,5559.0,b'False',b'LC',b'TS',b'Simbad',285.5784,41.4377
1.0,1.0,1.0,1.0,10557008,0.0,b'',0.2654186,2e-07,54964.637009,0.015123,0.8,82.0258,9.7163,14.662,5088.0,b'False',b'LC',b'TS',b'Simbad',299.2201,47.7268
0.0,0.0,1.0,1.0,05785551,0.0,b'',0.2666875,2e-07,55002.019292,0.013822,0.74,72.9526,12.4258,15.094,5034.0,b'False',b'LC',b'TS',b'Simbad',290.0879,41.0737
0.0,0.0,1.0,1.0,09388303,0.0,b'',0.2667035,2e-07,55002.002211,0.014314,0.78,75.7092,18.6204,15.551,5385.0,b'False',b'LC',b'TS',b'Simbad',283.6256,45.9218
0.0,0.0,1.0,1.0,05773205,0.0,b'',0.2668707,1.7e-06,55000.123267,0.012056,0.62,71.464,15.6744,19.742,,b'False',b'LC',b'TS',b'Simbad',285.3717,41.0712
1.0,1.0,1.0,1.0,02437038,0.0,b'',0.2676785,2e-07,54964.980693,0.049493,0.87,69.9235,10.907,15.955,5461.0,b'False',b'LC',b'TS',b'Simbad',290.1982,37.7422
1.0,1.0,1.0,1.0,07269843,0.0,b'',0.2682156,2e-07,54964.567796,0.016728,0.81,73.9048,14.7785,15.962,5002.0,b'False',b'LC',b'TS',b'Simbad',287.7198,42.8886
0.0,0.0,1.0,1.0,06072578,0.0,b'',0.2696718,2e-07,54862.142079,0.015159,0.77,76.5573,6.3477,14.677,5017.0,b'False',b'LC',b'TS',b'Simbad',299.4451,41.3524
0.0,0.0,1.0,0.0,08028158,0.0,b'',0.2710391,3.3e-06,55110.129439,0.015036,0.8,75.9632,12.6156,15.93,5484.0,b'False',b'LC',b'TS',b'Simbad',291.5684,43.8088
1.0,1.0,1.0,1.0,02435971,0.0,b'',0.271828,2e-07,54964.815967,0.018215,0.94,69.9236,11.0114,14.695,,b'False',b'LC',b'TS',b'Simbad',290.0795,37.7879
1.0,1.0,1.0,1.0,09026766,0.0,b'',0.2721278,2e-07,54964.846798,0.015238,0.76,77.9879,11.991,14.998,4880.0,b'False',b'LC',b'TS',b'Simbad',293.5782,45.3099
