KIC,T1,e_T1,T2,e_T2,R1_D,e_R1_D,R2_R1,e_R2_R1,T2_T1,Qual,Src,KIS,T1j,T2j,R2_R1j,T1k1,T2k1,R2_R1k1,Simbad,_RA,_DE
5310435.0,6943.0,452.0,4434.0,603.0,3.44e-11,3.17e-12,1.542,0.189,0.717,b'00000',b'1000',0.0,6943.0,4434.0,1.542,,,,b'Simbad',299.88721,40.487339
5343976.0,6325.0,772.0,5571.0,1489.0,4.89e-11,6.29e-12,0.868,0.378,0.7,b'11011',b'1100',1.0,5728.0,7325.0,0.491,7104.0,4550.0,1.184,b'Simbad',285.08569,40.52763
5347537.0,5613.0,356.0,5555.0,631.0,2.91e-11,2.63e-12,0.639,0.229,0.7,b'00010',b'1110',2.0,5620.0,5600.0,0.805,5562.0,5447.0,0.552,b'Simbad',286.71182,40.528542
5347784.0,5564.0,351.0,5498.0,544.0,4.5e-11,4.46e-12,0.744,0.258,0.982,b'00000',b'1100',1.0,5532.0,5452.0,0.69,5645.0,5553.0,0.782,b'Simbad',286.82251,40.513222
5353374.0,7357.0,362.0,7210.0,601.0,2.05e-11,2.1e-12,0.683,0.211,0.984,b'00000',b'1110',2.0,7327.0,7210.0,0.652,7447.0,7197.0,0.701,b'Simbad',288.97388,40.510078
5353653.0,7127.0,360.0,3729.0,568.0,1.5e-11,1.85e-12,0.751,0.191,0.7,b'00010',b'1110',2.0,7133.0,3677.0,0.868,7061.0,5941.0,0.583,b'Simbad',289.06549,40.548512
5356593.0,5692.0,373.0,4659.0,677.0,3.87e-11,2.74e-12,0.694,0.196,0.7,b'00010',b'1110',2.0,5722.0,4457.0,0.735,5557.0,5135.0,0.663,b'Simbad',289.96674,40.532661
5357470.0,6044.0,405.0,5927.0,751.0,1.81e-11,2.47e-12,0.746,0.28,0.7,b'00010',b'1100',1.0,6028.0,5840.0,0.777,6062.0,6085.0,0.707,b'Simbad',290.2442,40.559269
5357682.0,7094.0,366.0,3833.0,591.0,1.95e-11,1.86e-12,0.706,0.186,0.7,b'00010',b'1110',2.0,7116.0,3775.0,0.938,6687.0,8560.0,0.376,b'Simbad',290.30481,40.570011
5357882.0,6890.0,380.0,6198.0,990.0,1.74e-11,1.93e-12,0.631,0.208,0.7,b'00010',b'1110',2.0,6861.0,5878.0,0.48,7096.0,6017.0,0.761,b'Simbad',290.35376,40.550961
5358200.0,7188.0,1866.0,3742.0,1407.0,6.42e-12,4.82e-12,2.476,0.908,0.7,b'00011',b'1100',1.0,7113.0,3576.0,1.067,10778.0,6175.0,2.858,b'Simbad',290.45129,40.51059
5359678.0,6713.0,405.0,6237.0,623.0,2.06e-11,2.96e-12,0.777,0.293,0.935,b'00000',b'0100',1.0,6559.0,6171.0,0.827,6713.0,6237.0,0.777,b'Simbad',290.95132,40.54797
5369419.0,7028.0,371.0,6432.0,790.0,3.31e-11,3.44e-12,0.743,0.256,0.904,b'00000',b'1100',1.0,7004.0,6469.0,0.659,7507.0,6293.0,0.799,b'Simbad',293.82779,40.550861
5370302.0,5783.0,362.0,5939.0,684.0,1.87e-11,2.1e-12,0.59,0.228,0.7,b'00010',b'1110',2.0,5659.0,6544.0,0.436,5865.0,5835.0,0.742,b'Simbad',294.05676,40.549679
5371109.0,6915.0,417.0,9834.0,766.0,2.33e-11,1.72e-12,0.424,0.167,0.924,b'00000',b'1100',1.0,6776.0,10636.0,0.377,8375.0,6872.0,0.965,b'Simbad',294.26279,40.59856
5372966.0,5569.0,381.0,5356.0,663.0,1.72e-11,1.96e-12,0.735,0.206,0.7,b'00010',b'1111',3.0,5500.0,5116.0,0.722,5594.0,5071.0,0.708,b'Simbad',294.74396,40.53392
5374883.0,6167.0,362.0,6097.0,573.0,1.43e-11,1.96e-12,0.733,0.226,0.979,b'00000',b'1110',2.0,6007.0,5913.0,0.714,6268.0,6215.0,0.718,b'Simbad',295.22485,40.526531
5374999.0,6589.0,373.0,4936.0,634.0,1.44e-11,1.84e-12,0.899,0.186,0.832,b'00000',b'1110',2.0,6605.0,4454.0,1.009,6504.0,5278.0,0.701,b'Simbad',295.2486,40.555328
5376552.0,7005.0,362.0,7026.0,594.0,3.94e-11,4.37e-12,0.763,0.28,0.994,b'00100',b'1100',1.0,6972.0,6966.0,0.757,7251.0,7098.0,0.77,b'Simbad',295.60983,40.598309
5376836.0,5901.0,376.0,5837.0,755.0,2.68e-11,2.71e-12,0.692,0.242,0.7,b'00010',b'1100',1.0,5885.0,5697.0,0.578,5997.0,5924.0,0.822,b'Simbad',295.6713,40.59906
5377349.0,5980.0,381.0,5486.0,618.0,1.9e-11,2.04e-12,0.744,0.208,0.934,b'00000',b'1110',2.0,5907.0,5182.0,0.66,6055.0,5606.0,0.784,b'Simbad',295.78116,40.538441
5384713.0,3511.0,350.0,3546.0,544.0,1.09e-10,1.11e-11,0.72,0.286,0.7,b'00010',b'1100',1.0,3511.0,3556.0,0.551,3522.0,3542.0,0.813,b'Simbad',297.4292,40.561909
5384802.0,6467.0,434.0,6555.0,697.0,2.7e-11,2.81e-12,0.733,0.246,1.001,b'00100',b'1100',1.0,6261.0,6583.0,0.752,6568.0,6532.0,0.703,b'Simbad',297.44904,40.510899
5385471.0,5493.0,354.0,5410.0,614.0,1.34e-11,1.93e-12,0.606,0.242,0.7,b'00010',b'1110',2.0,5429.0,5346.0,0.653,5523.0,5429.0,0.608,b'Simbad',297.59494,40.594139
5389616.0,6124.0,407.0,6037.0,772.0,1.95e-11,2.96e-12,0.711,0.323,1.008,b'00000',b'0100',1.0,6019.0,5886.0,0.796,6124.0,6037.0,0.711,b'Simbad',298.48099,40.50695
5390351.0,3859.0,355.0,8481.0,642.0,1.66e-11,1.69e-12,0.163,0.151,0.898,b'11000',b'1110',2.0,3894.0,7667.0,0.206,3769.0,8884.0,0.149,b'Simbad',298.61804,40.592915
5392897.0,6421.0,384.0,5434.0,779.0,1.24e-11,1.88e-12,0.764,0.219,0.892,b'00000',b'1100',1.0,6421.0,5052.0,0.73,6420.0,5770.0,0.825,b'Simbad',299.06943,40.515659
5393558.0,6068.0,378.0,5690.0,646.0,3.02e-11,2.94e-12,0.733,0.239,0.874,b'00000',b'1100',1.0,5961.0,5678.0,0.628,6251.0,5700.0,0.874,b'Simbad',299.18677,40.501701
